Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
Side,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Left
Name,Tadasana,Samasthiti,Uttanasana,Utkatasana,Malasana,Padmasana,Sukhasana,Vajrasana,Virasana,Balasana,Setu Bandhasana,Chakrasana,Matsyasana,Navasana,Bhujangasana,Shalabhasana,Dhanurasana,Ustrasana,Marjarasana,Bitilasana,Adho Mukha Shvanasana,Urdhva Mukha Shvanasana,Phalakasana,Chaturanga Dandasana,Sirsasana,Sarvangasana,Halasana,Karnapidasana,Viparita Karani,Shavasana,Bakasana,Tolasana,Mayurasana,Pincha Mayurasana,Adho Mukha Vrksasana,Kurmasana,Upavistha Konasana,Padahastasana,Uttana Padasana,Paschimottanasana,Trikonasana,Trikonasana,Parivritta Trikonasana,Parivritta Trikonasana,Virabhadrasana I,Virabhadrasana I,Virabhadrasana II,Virabhadrasana II,Virabhadrasana III,Virabhadrasana III,Ardha Chandrasana,Ardha Chandrasana,Parsvakonasana,Parsvakonasana,Parivritta Parsvakonasana,Parivritta Parsvakonasana,Parighasana,Parighasana,Anjaneyasana,Anjaneyasana,Hanumanasana,Hanumanasana,Eka Pada Rajakapotasana,Eka Pada Rajakapotasana,Gomukhasana,Gomukhasana,Bharadvajasana,Bharadvajasana,Marichyasana I,Marichyasana I,Marichyasana III,Marichyasana III,Ardha Matsyendrasana,Ardha Matsyendrasana,Parivrtta Janu Sirsasana,Parivrtta Janu Sirsasana,Janu Sirsasana,Janu Sirsasana,Triang Mukhaikapada Paschimottanasana,Triang Mukhaikapada Paschimottanasana,Vasisthasana,Vasisthasana,Utthita Hasta Padangusthasana,Utthita Hasta Padangusthasana,Natarajasana,Natarajasana,Vrksasana,Vrksasana,Parsva Bakasana,Parsva Bakasana,Visvamitrasana,Visvamitrasana,Parivrtta Surya Yantrasana,Parivrtta Surya Yantrasana,Mandalasana,Mandalasana,Purna Matsyendrasana,Purna Matsyendrasana,Akarna Dhanurasana,Akarna Dhanurasana,Skandasana,Skandasana,Eka Pada Koundinyasana I,Eka Pada Koundinyasana I,Eka Pada Koundinyasana II,Eka Pada Koundinyasana II,Durvasasana,Durvasasana,Vatayanasana,Vatayanasana,Vamadevasana,Vamadevasana,Ardha Baddha Padmottanasana,Ardha Baddha Padmottanasana,Ardha Baddha Padma Paschimottanasana,Ardha Baddha Padma Paschimottanasana,Parivrtta Ardha Chandrasana,Parivrtta Ardha Chandrasana,Supta Padangusthasana,Supta Padangusthasana,Supta Matsyendrasana,Supta Matsyendrasana,Parivrtta Utkatasana,Parivrtta Utkatasana,Parivrtta Bakasana,Parivrtta Bakasana,Parivrtta Paschimottanasana,Parivrtta Paschimottanasana
